,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,LTE,LTE,LTE,LTE,LINK,LINK,LINK,LINK,ADA,ADA,ADA,ADA
,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume
671,1425254400000,269.9614999999999,3751796695.2874985,93658288.66772273,1496966400000,280.333547997722,25888383498.268276,268066729.96297646,1425254400000,1.912496403785423,70619319.85904312,6659066.535594202,1568160000000,1.8062216714646724,657800630.0954291,133593382.35021032,1566259200000,0.05019454443213063,1562503919.503494,93699314.14282824
672,1425340800000,280.6241999999999,3901083285.0899987,128754965.89965025,1497052800000,337.7921754587072,31204109902.87976,801852630.5281926,1425340800000,1.951102456609533,72101340.651327,6212065.549980676,1568246400000,1.731798524951704,630902069.7989016,71048964.93145464,1566345600000,0.049183992081746314,1529354602.6006532,94178598.83667171
673,1425427200000,273.0192999999999,3796353842.947499,119553919.98697218,1497139200000,341.0796489185503,31517336371.290997,636143278.2379793,1425427200000,1.936171960272445,71602938.32789531,5108777.334890964,1568332800000,1.7126630135711711,624037264.8243496,135580265.17984363,1566432000000,0.04716480331398617,1466956383.6728466,87401192.72974455
674,1425513600000,274.8255,3822334889.7375,98543018.35211967,1497225600000,398.4307850845948,36827986612.086975,1421483466.375218,1425513600000,1.920611079138396,71077982.49919808,3919861.6036310703,1568419200000,1.5831503071360469,576664846.9965696,131122480.77513872,1566518400000,0.04940080528158715,1537475723.913196,110141050.5836043
675,1425600000000,272.3412999999999,3788784931.469999,74704492.0402275,1497312000000,389.9448221775502,36054646089.31767,735420495.2051558,1425600000000,1.905812488469364,70585394.17744094,2141717.4945335197,1568505600000,1.574816513497497,574596429.3586135,143880661.9207158,1566604800000,0.04970245036635679,1547150136.48775,79481151.89334819
676,1425686400000,275.5846387340832,3834877371.4562297,50059694.67622344,1497398400000,347.78135772227546,32166013290.582638,564686366.697392,1425686400000,1.91840954079214,71105473.62119067,1613022.6506972322,1568592000000,1.613133532817962,587613800.0135245,132859997.0490609,1566691200000,0.0501623700145887,1562358446.8107417,282623830.3170906
677,1425772800000,274.578,3821054905.8,45050575.22814669,1497484800000,346.36906994261665,32045187612.760445,1019438927.4375795,1425772800000,1.899268276578846,70405502.7561956,1654613.7972086198,1568678400000,1.5787108689761515,574736507.0755576,173033828.07158342,1566777600000,0.04945092551466617,1538261850.534183,173255575.46409392
678,1425859200000,289.2957000000001,4027806171.9600015,111062141.12648012,1497571200000,358.2845168676378,33157744080.501328,404203523.11443627,1425859200000,1.929246312858236,71625399.2527914,3447327.0361888204,1568764800000,1.6233159378919624,591579320.0709141,206636544.3596008,1566864000000,0.04960650037440522,1541925837.90957,146395207.90987897
679,1425945600000,290.3057,4043022165.1175,129285347.54407713,1497657600000,372.3570110185702,34470617407.87629,299739757.59496593,1425945600000,2.001115495070417,74358858.35113509,12270475.95562973,1568851200000,1.7997825015084545,655944090.4230369,213599254.15974548,1566950400000,0.04990065558170095,1552533380.611005,65378430.064523615
680,1426032000000,295.961,4122115211.9,73794326.12201199,1497744000000,359.4387121135216,33285012838.7317,315402069.35223436,1426032000000,2.018303903512389,75015217.49181716,3928090.321694208,1568937600000,1.8681085368879855,679978559.2465925,146550660.6477437,1567036800000,0.04596845655910895,1429761076.5778046,153253060.25626767
681,1426118400000,293.9203,4095470764.185,65277495.588918425,1497830400000,362.0442891370599,33536649090.290455,255793325.43759757,1426118400000,2.048859636652662,76252007.52081333,6679854.348198577,1569024000000,1.8208760057033844,663172885.6272845,108507196.42486748,1567123200000,0.04460753137056895,1394409839.708703,95120388.41742739
682,1426204800000,288.0364999999999,4014523120.5749984,67739327.34903467,1497916800000,358.0532310647092,33172832683.333572,517663237.25955987,1426204800000,2.01346430826815,74992190.92781237,3361635.672883166,1569110400000,1.877063574076717,682306339.3447282,96749663.28880568,1567209600000,0.04479946283441484,1393356581.470645,115569760.95801897
683,1426291200000,281.4887,3924198780.6125,63244191.82668233,1498003200000,327.8909356942679,30390293651.200687,719062539.4411728,1426291200000,1.993700340145327,74316085.31887148,2463776.7049925947,1569196800000,1.8096346524676659,659661686.0697747,109403308.56472254,1567296000000,0.044880548452087936,1396454704.9680758,96161823.44197886
684,1426377600000,285.2645,3977863688.6375,32203956.61897762,1498089600000,326.9598139741636,30312664724.45932,373363641.5631702,1426377600000,2.01631756346645,75212484.18593943,2430171.7056570062,1569283200000,1.7976959225572313,654948073.4817252,145970463.21392316,1567382400000,0.04449442698498823,1385327625.6654646,57516134.361344784
685,1426464000000,290.0955000000001,4046186762.5125012,60818266.22008967,1498176000000,331.9138051489657,30780636114.235588,217363813.30567747,1426464000000,2.024593714729743,75578293.92860764,3556330.6680427943,1569369600000,1.7490771152778164,636656135.789622,195912825.1065894,1567468800000,0.045354229791424734,1409467876.7763908,72218997.65344046
686,1426550400000,284.3491,3967004055.1925,50540130.74794698,1498262400000,310.05462840596994,28761584162.47397,216259454.09568173,1426550400000,1.981945561952846,74035584.3945308,6173121.2686781585,1569456000000,1.7492279254330263,637761600.7432938,160917205.98746243,1567555200000,0.04659907826217568,1450986674.4294012,90249150.32384387
687,1426636800000,255.6062,3566978130.845,123648767.77025563,1498348800000,288.04702626534885,26727797729.147892,492617160.2802557,1426636800000,1.742885436460289,65146014.536913544,7459695.965769324,1569542400000,1.6557771635387237,603467397.1132222,100778569.54669066,1567641600000,0.04542015426529244,1413078045.9517365,68735197.41303329
688,1426723200000,260.0037,3629235646.08,133194355.06279549,1498435200000,258.91946273454556,24031469340.43858,892409899.091193,1426723200000,1.770148621288688,66203211.487067156,8201938.8816238735,1569628800000,1.6559584968634096,603651978.1381924,88201053.50249419,1567728000000,0.04442465942246261,1381978247.8320377,77907028.33145447
689,1426809600000,260.9075,3642718765.4375,59404464.50294682,1498521600000,280.8130146788337,26071528057.27424,739337521.914465,1426809600000,1.770643100588115,66267918.70087314,2717099.9476028183,1569715200000,1.6837697695437375,613581815.9978248,70910611.71148191,1567814400000,0.044309504591709646,1378821430.8564413,74245105.06182222
690,1426896000000,259.4899,3623906198.45,54148215.13499707,1498608000000,317.2936774724324,29466974350.047752,735209015.2786213,1426896000000,1.750537240079927,65572768.79026892,2556179.05628368,1569801600000,1.7081928424147468,622481817.4561609,80643391.92764445,1567900800000,0.04582084104840284,1425532107.2667506,67058124.93614473
